threshold,TP,FP,FN,欺诈挽回率%,误拦率%,漏损金额
0.01,140,61066,2,98.6,71.863,1.0
0.02,139,46648,3,97.9,54.895,84.0
0.03,138,37212,4,97.2,43.791,250.0
0.04,138,30809,4,97.2,36.256,250.0
0.05,137,26259,5,96.5,30.902,13.0
0.06,135,22843,7,95.1,26.882,0.0
0.07,134,20093,8,94.4,23.645,34.0
0.08,134,17973,8,94.4,21.151,34.0
0.09,134,16148,8,94.4,19.003,34.0
0.1,134,14663,8,94.4,17.255,34.0
0.11,134,13477,8,94.4,15.86,34.0
0.12,132,12447,10,93.0,14.648,11.0
0.13,132,11578,10,93.0,13.625,11.0
0.14,132,10763,10,93.0,12.666,11.0
0.15,132,10077,10,93.0,11.859,11.0
0.16,131,9432,11,92.3,11.1,89.0
0.17,131,8902,11,92.3,10.476,89.0
0.18,130,8388,12,91.5,9.871,2.0
0.19,130,7966,12,91.5,9.374,2.0
0.2,130,7547,12,91.5,8.881,2.0
0.21,129,7130,13,90.8,8.391,286.0
0.22,129,6769,13,90.8,7.966,286.0
0.23,128,6450,14,90.1,7.59,122.0
0.24,128,6127,14,90.1,7.21,122.0
0.25,128,5857,14,90.1,6.893,122.0
0.26,128,5576,14,90.1,6.562,122.0
0.27,127,5331,15,89.4,6.274,7.0
0.28,126,5089,16,88.7,5.989,8.0
0.29,126,4862,16,88.7,5.722,8.0
0.3,126,4658,16,88.7,5.482,8.0
0.31,126,4463,16,88.7,5.252,8.0
0.32,126,4270,16,88.7,5.025,8.0
0.33,126,4110,16,88.7,4.837,8.0
0.34,126,3945,16,88.7,4.642,8.0
0.35,126,3789,16,88.7,4.459,8.0
0.36,126,3657,16,88.7,4.304,8.0
0.37,126,3533,16,88.7,4.158,8.0
0.38,126,3394,16,88.7,3.994,8.0
0.39,126,3290,16,88.7,3.872,8.0
0.4,126,3176,16,88.7,3.738,8.0
0.41,126,3066,16,88.7,3.608,8.0
0.42,126,2950,16,88.7,3.472,8.0
0.43,126,2862,16,88.7,3.368,8.0
0.44,126,2780,16,88.7,3.272,8.0
0.45,126,2695,16,88.7,3.171,8.0
0.46,126,2593,16,88.7,3.051,8.0
0.47,126,2497,16,88.7,2.938,8.0
0.48,126,2421,16,88.7,2.849,8.0
0.49,126,2334,16,88.7,2.747,8.0
0.5,126,2267,16,88.7,2.668,8.0
0.51,126,2196,16,88.7,2.584,8.0
0.52,126,2135,16,88.7,2.512,8.0
0.53,126,2061,16,88.7,2.425,8.0
0.54,126,1988,16,88.7,2.339,8.0
0.55,126,1905,16,88.7,2.242,8.0
0.56,126,1830,16,88.7,2.154,8.0
0.57,126,1765,16,88.7,2.077,8.0
0.58,126,1701,16,88.7,2.002,8.0
0.59,126,1638,16,88.7,1.928,8.0
0.6,126,1574,16,88.7,1.852,8.0
0.61,126,1520,16,88.7,1.789,8.0
0.62,126,1471,16,88.7,1.731,8.0
0.63,126,1410,16,88.7,1.659,8.0
0.64,126,1355,16,88.7,1.595,8.0
0.65,126,1305,16,88.7,1.536,8.0
0.66,126,1249,16,88.7,1.47,8.0
0.67,126,1202,16,88.7,1.415,8.0
0.68,126,1148,16,88.7,1.351,8.0
0.69,126,1107,16,88.7,1.303,8.0
0.7,126,1061,16,88.7,1.249,8.0
0.71,126,1017,16,88.7,1.197,8.0
0.72,126,973,16,88.7,1.145,8.0
0.73,126,923,16,88.7,1.086,8.0
0.74,126,882,16,88.7,1.038,8.0
0.75,126,855,16,88.7,1.006,8.0
0.76,126,817,16,88.7,0.961,8.0
0.77,125,775,17,88.0,0.912,1.0
0.78,124,744,18,87.3,0.876,2.0
0.79,124,703,18,87.3,0.827,2.0
0.8,124,668,18,87.3,0.786,2.0
0.81,123,641,19,86.6,0.754,100.0
0.82,123,615,19,86.6,0.724,100.0
0.83,123,595,19,86.6,0.7,100.0
0.84,122,556,20,85.9,0.654,21.0
0.85,120,526,22,84.5,0.619,8.0
0.86,120,486,22,84.5,0.572,8.0
0.87,119,463,23,83.8,0.545,29.0
0.88,119,429,23,83.8,0.505,29.0
0.89,119,394,23,83.8,0.464,29.0
0.9,119,371,23,83.8,0.437,29.0
0.91,119,329,23,83.8,0.387,29.0
0.92,118,297,24,83.1,0.35,180.0
0.93,117,262,25,82.4,0.308,5.0
0.94,117,232,25,82.4,0.273,5.0
0.95,117,195,25,82.4,0.229,5.0
0.96,117,157,25,82.4,0.185,5.0
0.97,116,130,26,81.7,0.153,72.0
0.98,115,95,27,81.0,0.112,30.0
0.99,113,75,29,79.6,0.088,23.0
