threshold,TP,FP,FN,漏损欧,总成本欧
0.01,113,14,29,23.0,93.0
0.02,111,12,31,6.0,66.0
0.03,111,11,31,6.0,61.0
0.04,111,10,31,6.0,56.0
0.05,111,9,31,6.0,51.0
0.06,111,9,31,6.0,51.0
0.07,111,9,31,6.0,51.0
0.08,111,9,31,6.0,51.0
0.09,111,9,31,6.0,51.0
0.1,111,9,31,6.0,51.0
0.11,111,9,31,6.0,51.0
0.12,111,9,31,6.0,51.0
0.13,111,9,31,6.0,51.0
0.14,111,9,31,6.0,51.0
0.15,111,9,31,6.0,51.0
0.16,111,9,31,6.0,51.0
0.17,111,9,31,6.0,51.0
0.18,110,9,32,485.0,530.0
0.19,110,8,32,485.0,525.0
0.2,110,8,32,485.0,525.0
0.21,110,8,32,485.0,525.0
0.22,110,8,32,485.0,525.0
0.23,110,8,32,485.0,525.0
0.24,110,8,32,485.0,525.0
0.25,110,8,32,485.0,525.0
0.26,110,7,32,485.0,520.0
0.27,110,7,32,485.0,520.0
0.28,110,7,32,485.0,520.0
0.29,110,7,32,485.0,520.0
0.3,110,7,32,485.0,520.0
0.31,109,7,33,777.0,812.0
0.32,109,7,33,777.0,812.0
0.33,109,7,33,777.0,812.0
0.34,109,7,33,777.0,812.0
0.35,109,7,33,777.0,812.0
0.36,109,7,33,777.0,812.0
0.37,109,7,33,777.0,812.0
0.38,109,7,33,777.0,812.0
0.39,109,7,33,777.0,812.0
0.4,109,7,33,777.0,812.0
0.41,109,7,33,777.0,812.0
0.42,109,7,33,777.0,812.0
0.43,109,7,33,777.0,812.0
0.44,108,7,34,20.0,55.0
0.45,108,7,34,20.0,55.0
0.46,108,7,34,20.0,55.0
0.47,108,7,34,20.0,55.0
0.48,108,7,34,20.0,55.0
0.49,108,7,34,20.0,55.0
0.5,108,7,34,20.0,55.0
0.51,108,7,34,20.0,55.0
0.52,108,7,34,20.0,55.0
0.53,108,7,34,20.0,55.0
0.54,108,7,34,20.0,55.0
0.55,108,7,34,20.0,55.0
0.56,108,7,34,20.0,55.0
0.57,108,7,34,20.0,55.0
0.58,108,7,34,20.0,55.0
0.59,108,7,34,20.0,55.0
0.6,108,7,34,20.0,55.0
0.61,108,7,34,20.0,55.0
0.62,108,7,34,20.0,55.0
0.63,108,6,34,20.0,50.0
0.64,108,6,34,20.0,50.0
0.65,108,6,34,20.0,50.0
0.66,108,4,34,20.0,40.0
0.67,108,4,34,20.0,40.0
0.68,108,4,34,20.0,40.0
0.69,108,4,34,20.0,40.0
0.7,108,4,34,20.0,40.0
0.71,108,4,34,20.0,40.0
0.72,108,4,34,20.0,40.0
0.73,108,4,34,20.0,40.0
0.74,107,4,35,11.0,31.0
0.75,107,4,35,11.0,31.0
0.76,107,4,35,11.0,31.0
0.77,107,4,35,11.0,31.0
0.78,107,4,35,11.0,31.0
0.79,107,4,35,11.0,31.0
0.8,107,4,35,11.0,31.0
0.81,107,4,35,11.0,31.0
0.82,107,4,35,11.0,31.0
0.83,107,4,35,11.0,31.0
0.84,107,4,35,11.0,31.0
0.85,107,4,35,11.0,31.0
0.86,107,4,35,11.0,31.0
0.87,107,4,35,11.0,31.0
0.88,107,4,35,11.0,31.0
0.89,107,4,35,11.0,31.0
0.9,107,4,35,11.0,31.0
0.91,107,4,35,11.0,31.0
0.92,107,4,35,11.0,31.0
0.93,107,4,35,11.0,31.0
0.94,107,4,35,11.0,31.0
0.95,107,4,35,11.0,31.0
0.96,107,4,35,11.0,31.0
0.97,106,4,36,119.0,139.0
0.98,105,4,37,141.0,161.0
0.99,105,4,37,141.0,161.0
