threshold,TP,FP,FN,漏损欧,总成本欧
0.01,107,61772,0,149.9,309009.9
0.02,107,46093,0,149.9,230614.9
0.03,107,36373,0,149.9,182014.9
0.04,106,30367,1,8.95,151843.95
0.05,105,26157,2,2.69,130787.69
0.06,103,23194,4,56.0,116026.0
0.07,103,20928,4,56.0,104696.0
0.08,103,19020,4,56.0,95156.0
0.09,103,17478,4,56.0,87446.0
0.1,103,16166,4,56.0,80886.0
0.11,103,15069,4,56.0,75401.0
0.12,101,14041,6,4.72,70209.72
0.13,101,13168,6,4.72,65844.72
0.14,100,12395,7,7.18,61982.18
0.15,99,11646,8,27.27,58257.27
0.16,98,10968,9,29.92,54869.92
0.17,98,10355,9,29.92,51804.92
0.18,98,9756,9,29.92,48809.92
0.19,98,9235,9,29.92,46204.92
0.2,98,8803,9,29.92,44044.92
0.21,98,8384,9,29.92,41949.92
0.22,97,7972,10,19.9,39879.9
0.23,97,7578,10,19.9,37909.9
0.24,97,7166,10,19.9,35849.9
0.25,97,6761,10,19.9,33824.9
0.26,97,6442,10,19.9,32229.9
0.27,97,6112,10,19.9,30579.9
0.28,97,5841,10,19.9,29224.9
0.29,97,5560,10,19.9,27819.9
0.3,97,5321,10,19.9,26624.9
0.31,97,5075,10,19.9,25394.9
0.32,97,4871,10,19.9,24374.9
0.33,97,4648,10,19.9,23259.9
0.34,97,4466,10,19.9,22349.9
0.35,97,4246,10,19.9,21249.9
0.36,97,4073,10,19.9,20384.9
0.37,97,3894,10,19.9,19489.9
0.38,97,3754,10,19.9,18789.9
0.39,97,3603,10,19.9,18034.9
0.4,97,3479,10,19.9,17414.9
0.41,96,3358,11,61.0,16851.0
0.42,96,3221,11,61.0,16166.0
0.43,96,3102,11,61.0,15571.0
0.44,96,2974,11,61.0,14931.0
0.45,95,2877,12,14.66,14399.66
0.46,95,2782,12,14.66,13924.66
0.47,95,2695,12,14.66,13489.66
0.48,95,2591,12,14.66,12969.66
0.49,95,2479,12,14.66,12409.66
0.5,95,2396,12,14.66,11994.66
0.51,95,2330,12,14.66,11664.66
0.52,95,2243,12,14.66,11229.66
0.53,95,2153,12,14.66,10779.66
0.54,95,2075,12,14.66,10389.66
0.55,95,2006,12,14.66,10044.66
0.56,95,1940,12,14.66,9714.66
0.57,94,1856,13,24.99,9304.99
0.58,94,1783,13,24.99,8939.99
0.59,94,1723,13,24.99,8639.99
0.6,94,1656,13,24.99,8304.99
0.61,94,1605,13,24.99,8049.99
0.62,93,1547,14,1.0,7736.0
0.63,93,1489,14,1.0,7446.0
0.64,93,1441,14,1.0,7206.0
0.65,93,1381,14,1.0,6906.0
0.66,93,1318,14,1.0,6591.0
0.67,93,1270,14,1.0,6351.0
0.68,93,1219,14,1.0,6096.0
0.69,93,1159,14,1.0,5796.0
0.7,93,1104,14,1.0,5521.0
0.71,93,1053,14,1.0,5266.0
0.72,93,1008,14,1.0,5041.0
0.73,92,955,15,20.0,4795.0
0.74,92,913,15,20.0,4585.0
0.75,92,866,15,20.0,4350.0
0.76,92,807,15,20.0,4055.0
0.77,92,764,15,20.0,3840.0
0.78,92,725,15,20.0,3645.0
0.79,92,691,15,20.0,3475.0
0.8,92,659,15,20.0,3315.0
0.81,92,626,15,20.0,3150.0
0.82,92,590,15,20.0,2970.0
0.83,92,562,15,20.0,2830.0
0.84,92,518,15,20.0,2610.0
0.85,92,491,15,20.0,2475.0
0.86,92,442,15,20.0,2230.0
0.87,92,409,15,20.0,2065.0
0.88,92,381,15,20.0,1925.0
0.89,92,356,15,20.0,1800.0
0.9,92,322,15,20.0,1630.0
0.91,91,289,16,45.0,1490.0
0.92,90,261,17,4.99,1309.99
0.93,90,232,17,4.99,1164.99
0.94,90,208,17,4.99,1044.99
0.95,89,181,18,19.9,924.9
0.96,89,156,18,19.9,799.9
0.97,88,132,19,11.5,671.5
0.98,88,109,19,11.5,556.5
0.99,86,87,21,30.32,465.32
